day;daydif;space distance;name one;name two
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;8;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;17;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;8;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;11;T30;T6
2022/01/29;2022/01/31;11;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;12;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;17;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;9;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;8;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;9;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;17;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;9;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;12;T30;T6
2022/01/29;2022/01/31;11;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;9;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;17;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;10;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;17;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;8;T30;T6
2022/01/29;2022/01/31;16;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;0;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;12;T30;T6
2022/01/29;2022/01/31;12;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;14;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;1;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;9;T30;T6
2022/01/29;2022/01/31;9;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;7;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;13;T30;T6
2022/01/29;2022/01/31;17;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;19;T30;T6
2022/01/29;2022/01/31;19;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;19;T30;T6
2022/01/29;2022/01/31;18;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;5;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;2;T30;T6
2022/01/29;2022/01/31;3;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;15;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;6;T30;T6
2022/01/29;2022/01/31;4;T30;T6
2022/01/29;2022/01/31;7;T30;T6
