Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential,dateTime
2023/02/28, 10:40:50,-40.590015,-65.000771,145.5,0.0,232,0,198.69,1,2023-02-28 10:40:50
2023/02/28, 10:56:02,-40.586872,-65.001717,150.33,25416.0,35,0,358.5,1,2023-02-28 10:56:02
2023/02/28, 11:11:55,-40.579628,-64.994347,138.1,576.0,132,0,1017.93,1,2023-02-28 11:11:55
2023/02/28, 11:39:13,-40.579086,-64.998108,154.17,3708.0,280,0,323.3,1,2023-02-28 11:39:13
2023/02/28, 12:10:24,-40.579849,-64.99691,156.53,4896.0,164,0,132.04,1,2023-02-28 12:10:24
2023/02/28, 12:42:59,-40.728725,-64.948799,-10.51,20520.0,94,0,17044.51,1,2023-02-28 12:42:59
2023/02/28, 13:13:05,-40.728725,-64.948799,-10.51,20520.0,94,0,0.0,1,2023-02-28 13:13:05
2023/02/28, 13:28:32,-40.728146,-64.944374,20.61,576.0,207,0,378.39,1,2023-02-28 13:28:32
2023/02/28, 13:52:04,-40.728146,-64.942947,38.55,21492.0,64,0,120.25,1,2023-02-28 13:52:04
2023/02/28, 14:07:50,-40.734398,-64.937973,5.58,2016.0,299,0,811.76,1,2023-02-28 14:07:50
2023/02/28, 14:32:56,-40.734364,-64.93808,-9.08,1512.0,285,-4,9.78,1,2023-02-28 14:32:56
2023/02/28, 16:50:34,-40.734379,-64.937851,0.04,0.0,0,-2,0.0,1,2023-02-28 16:50:34
2023/02/28, 16:50:56,-40.734436,-64.937767,9.84,1008.0,357,0,9.5,1,2023-02-28 16:50:56
2023/02/28, 17:06:16,-40.734318,-64.937965,-7.19,0.0,277,0,21.22,1,2023-02-28 17:06:16
2023/02/28, 17:21:37,-40.729736,-64.940056,13.24,17748.0,282,0,539.1,1,2023-02-28 17:21:37
2023/02/28, 17:37:02,-40.711456,-65.004219,10.73,1656.0,24,0,5776.73,1,2023-02-28 17:37:02
2023/02/28, 17:52:28,-40.711033,-65.000496,44.78,0.0,222,0,317.3,1,2023-02-28 17:52:28
2023/02/28, 18:07:59,-40.592243,-65.005348,188.42,70524.0,6,0,13215.19,1,2023-02-28 18:07:59
2023/02/28, 18:23:12,-40.584621,-65.000542,165.63,0.0,262,0,939.68,1,2023-02-28 18:23:12
2023/02/28, 18:38:41,-40.584709,-65.003075,152.32,180.0,16,0,214.13,1,2023-02-28 18:38:41
2023/02/28, 18:53:59,-40.584812,-65.003098,163.5,288.0,230,0,11.62,1,2023-02-28 18:53:59
2023/02/28, 19:09:33,-40.584698,-65.002922,150.14,648.0,243,0,19.53,1,2023-02-28 19:09:33
2023/02/28, 19:24:26,-40.584671,-65.002899,149.08,0.0,202,0,3.58,1,2023-02-28 19:24:26
2023/02/28, 19:39:15,-40.584599,-65.002884,164.53,0.0,182,0,8.11,1,2023-02-28 19:39:15
2023/02/28, 19:54:00,-40.584618,-65.002853,165.9,864.0,201,0,3.36,1,2023-02-28 19:54:00
2023/02/28, 20:09:36,-40.584644,-65.002823,166.13,756.0,49,0,3.84,1,2023-02-28 20:09:36
2023/02/28, 20:25:14,-40.584602,-65.002731,166.36,612.0,90,0,9.06,1,2023-02-28 20:25:14
2023/02/28, 20:43:43,-40.584648,-65.002731,165.16,2700.0,178,0,5.11,1,2023-02-28 20:43:43
2023/02/28, 21:04:01,-40.584667,-65.002945,143.69,756.0,190,0,18.19,1,2023-02-28 21:04:01
2023/02/28, 21:24:55,-40.584663,-65.002914,158.6,0.0,30,0,2.66,1,2023-02-28 21:24:55
2023/02/28, 21:40:05,-40.584667,-65.002914,156.05,0.0,183,0,0.44,1,2023-02-28 21:40:05
2023/02/28, 21:55:19,-40.584866,-65.003044,139.8,14256.0,23,0,24.7,1,2023-02-28 21:55:19
2023/02/28, 22:11:02,-40.584751,-65.002899,136.6,1764.0,316,0,17.7,1,2023-02-28 22:11:02
2023/02/28, 22:29:56,-40.584633,-65.002899,154.44,0.0,216,0,13.12,1,2023-02-28 22:29:56
2023/02/28, 22:45:00,-40.58466,-65.002884,157.5,0.0,271,0,3.26,1,2023-02-28 22:45:00
2023/02/28, 23:00:07,-40.584671,-65.002899,162.54,0.0,204,0,1.76,1,2023-02-28 23:00:07
2023/02/28, 23:15:56,-40.584713,-65.002975,159.46,1080.0,210,0,7.94,1,2023-02-28 23:15:56
2023/02/28, 23:31:49,-40.584671,-65.002945,148.75,468.0,224,0,5.31,1,2023-02-28 23:31:49
2023/02/28, 23:53:00,-40.584614,-65.00293,137.91,0.0,47,-4,6.46,1,2023-02-28 23:53:00
2023/03/01, 00:08:28,-40.584743,-65.003082,140.73,0.0,248,-2,0.0,1,2023-03-01 00:08:28
2023/03/01, 00:23:57,-40.584629,-65.002975,161.47,936.0,297,0,15.57,1,2023-03-01 00:23:57
2023/03/01, 00:39:19,-40.584682,-65.00296,150.9,972.0,186,0,6.03,1,2023-03-01 00:39:19
2023/03/01, 00:54:52,-40.584694,-65.002975,141.06,2088.0,66,0,1.84,1,2023-03-01 00:54:52
2023/03/01, 01:10:30,-40.584709,-65.002991,146.08,1332.0,77,0,2.15,1,2023-03-01 01:10:30
2023/03/01, 01:27:48,-40.584545,-65.002869,184.2,0.0,214,0,20.94,1,2023-03-01 01:27:48
2023/03/01, 01:43:07,-40.584591,-65.002869,180.46,0.0,204,0,5.11,1,2023-03-01 01:43:07
2023/03/01, 01:58:53,-40.584686,-65.002846,171.21,612.0,158,0,10.74,1,2023-03-01 01:58:53
2023/03/01, 02:17:32,-40.584698,-65.002922,148.96,180.0,127,0,6.56,1,2023-03-01 02:17:32
2023/03/01, 02:40:25,-40.584644,-65.002922,144.6,360.0,124,0,6.0,1,2023-03-01 02:40:25
2023/03/01, 02:55:40,-40.58466,-65.002953,147.4,0.0,34,0,3.17,1,2023-03-01 02:55:40
2023/03/01, 03:10:57,-40.584679,-65.002975,139.62,0.0,186,0,2.81,1,2023-03-01 03:10:57
2023/03/01, 03:26:13,-40.584644,-65.002953,155.49,0.0,275,0,4.31,1,2023-03-01 03:26:13
2023/03/01, 03:41:26,-40.584644,-65.002945,155.01,0.0,43,0,0.68,1,2023-03-01 03:41:26
2023/03/01, 03:56:45,-40.584621,-65.00293,162.69,972.0,229,0,2.85,1,2023-03-01 03:56:45
2023/03/01, 04:12:00,-40.584682,-65.002983,156.16,0.0,352,0,8.13,1,2023-03-01 04:12:00
2023/03/01, 04:27:30,-40.584641,-65.00293,145.71,324.0,172,0,6.39,1,2023-03-01 04:27:30
2023/03/01, 04:42:40,-40.584656,-65.002975,149.48,0.0,0,0,4.15,1,2023-03-01 04:42:40
2023/03/01, 04:57:49,-40.584705,-65.002983,143.79,0.0,210,0,5.49,1,2023-03-01 04:57:49
2023/03/01, 05:13:03,-40.584648,-65.002945,151.09,0.0,31,0,7.1,1,2023-03-01 05:13:03
2023/03/01, 05:28:12,-40.584671,-65.002975,144.17,0.0,212,0,3.6,1,2023-03-01 05:28:12
2023/03/01, 05:43:20,-40.584679,-65.002991,145.34,0.0,203,0,1.62,1,2023-03-01 05:43:20
2023/03/01, 05:58:28,-40.58469,-65.00296,146.73,0.0,119,0,2.89,1,2023-03-01 05:58:28
2023/03/01, 06:13:42,-40.584679,-65.002983,146.89,468.0,28,0,2.3,1,2023-03-01 06:13:42
2023/03/01, 06:28:51,-40.584618,-65.002975,133.71,0.0,42,0,6.82,1,2023-03-01 06:28:51
2023/03/01, 06:43:59,-40.58466,-65.003204,118.18,0.0,239,0,19.89,1,2023-03-01 06:43:59
2023/03/01, 06:59:05,-40.58466,-65.003014,146.09,0.0,347,0,16.04,1,2023-03-01 06:59:05
2023/03/01, 07:14:33,-40.584656,-65.002953,154.42,720.0,108,0,5.17,1,2023-03-01 07:14:33
2023/03/01, 07:29:39,-40.584709,-65.003014,150.42,0.0,68,0,7.83,1,2023-03-01 07:29:39
2023/03/01, 07:44:44,-40.584698,-65.002983,148.31,0.0,175,0,2.89,1,2023-03-01 07:44:44
2023/03/01, 07:59:50,-40.584709,-65.003059,147.74,0.0,208,0,6.53,1,2023-03-01 07:59:50
2023/03/01, 08:15:00,-40.584667,-65.002953,160.73,0.0,0,0,10.1,1,2023-03-01 08:15:00
2023/03/01, 08:30:08,-40.584736,-65.003029,152.75,0.0,221,0,10.0,1,2023-03-01 08:30:08
2023/03/01, 08:45:49,-40.584667,-65.002945,152.24,396.0,268,0,10.45,1,2023-03-01 08:45:49
2023/03/01, 09:01:05,-40.584702,-65.003059,161.72,0.0,196,0,10.38,1,2023-03-01 09:01:05
2023/03/01, 09:16:19,-40.584713,-65.00296,152.01,0.0,319,0,8.45,1,2023-03-01 09:16:19
2023/03/01, 09:31:34,-40.584694,-65.002968,157.57,0.0,217,0,2.22,1,2023-03-01 09:31:34
2023/03/01, 09:46:52,-40.584621,-65.002914,158.03,0.0,36,0,9.31,1,2023-03-01 09:46:52
2023/03/01, 10:02:24,-40.585049,-65.003326,116.76,7092.0,207,0,58.95,1,2023-03-01 10:02:24
2023/03/01, 10:18:20,-40.584686,-65.002945,155.39,504.0,172,0,51.62,1,2023-03-01 10:18:20
2023/03/01, 10:37:37,-40.584682,-65.00293,163.45,0.0,358,0,1.34,1,2023-03-01 10:37:37
2023/03/01, 10:53:04,-40.584648,-65.002899,154.24,972.0,230,0,4.6,1,2023-03-01 10:53:04
2023/03/01, 11:08:28,-40.584679,-65.002937,164.49,0.0,56,0,4.71,1,2023-03-01 11:08:28
2023/03/01, 11:23:43,-40.584702,-65.003021,149.17,1440.0,35,0,7.54,1,2023-03-01 11:23:43
2023/03/01, 11:38:58,-40.584652,-65.002922,164.64,288.0,185,0,10.04,1,2023-03-01 11:38:58
2023/03/01, 11:54:23,-40.584625,-65.002945,170.89,360.0,110,0,3.58,1,2023-03-01 11:54:23
2023/03/01, 12:10:01,-40.584625,-65.002899,170.72,1008.0,253,0,3.88,1,2023-03-01 12:10:01
2023/03/01, 12:27:09,-40.584713,-65.003036,148.09,0.0,247,0,15.15,1,2023-03-01 12:27:09
2023/03/01, 12:42:25,-40.584686,-65.002968,152.34,3420.0,233,0,6.48,1,2023-03-01 12:42:25
2023/03/01, 12:57:38,-40.584728,-65.002998,150.13,0.0,217,0,5.31,1,2023-03-01 12:57:38
2023/03/01, 13:12:57,-40.584785,-65.003059,146.24,0.0,227,0,8.17,1,2023-03-01 13:12:57
2023/03/01, 13:28:13,-40.584755,-65.003006,152.94,0.0,231,0,5.58,1,2023-03-01 13:28:13
2023/03/01, 13:43:31,-40.584755,-65.003014,159.41,0.0,228,0,0.68,1,2023-03-01 13:43:31
2023/03/01, 13:59:24,-40.584732,-65.002975,158.08,288.0,50,0,4.17,1,2023-03-01 13:59:24
2023/03/01, 14:14:51,-40.58469,-65.002945,150.14,864.0,156,0,5.31,1,2023-03-01 14:14:51
2023/03/01, 14:30:20,-40.584698,-65.002922,153.49,0.0,240,0,2.14,1,2023-03-01 14:30:20
2023/03/01, 14:45:53,-40.584709,-65.002968,159.55,0.0,173,0,4.07,1,2023-03-01 14:45:53
2023/03/01, 15:01:27,-40.584656,-65.002983,154.54,0.0,144,0,6.03,1,2023-03-01 15:01:27
2023/03/01, 15:16:22,-40.584682,-65.002991,154.07,0.0,116,0,2.97,1,2023-03-01 15:16:22
2023/03/01, 15:31:12,-40.584702,-65.002937,161.8,0.0,241,0,5.07,1,2023-03-01 15:31:12
2023/03/01, 15:46:04,-40.584648,-65.002945,156.53,0.0,118,0,6.04,1,2023-03-01 15:46:04
2023/03/01, 16:01:02,-40.584656,-65.002968,161.71,1440.0,80,0,2.14,1,2023-03-01 16:01:02
2023/03/01, 16:16:15,-40.584667,-65.002953,163.86,1512.0,8,0,1.76,1,2023-03-01 16:16:15
2023/03/01, 16:31:34,-40.58466,-65.002937,148.21,972.0,45,0,1.56,1,2023-03-01 16:31:34
2023/03/01, 16:47:27,-40.584755,-65.002998,118.8,0.0,188,0,11.75,1,2023-03-01 16:47:27
2023/03/01, 17:02:38,-40.584614,-65.002876,173.5,216.0,265,0,18.76,1,2023-03-01 17:02:38
2023/03/01, 17:17:55,-40.584629,-65.002831,173.44,1044.0,163,0,4.15,1,2023-03-01 17:17:55
2023/03/01, 17:38:03,-40.58469,-65.00296,144.36,396.0,195,0,12.83,1,2023-03-01 17:38:03
2023/03/01, 18:00:52,-40.584732,-65.003075,142.52,180.0,24,0,10.78,1,2023-03-01 18:00:52
2023/03/01, 18:16:10,-40.584641,-65.00293,152.5,3924.0,33,0,15.88,1,2023-03-01 18:16:10
2023/03/01, 18:31:25,-40.584747,-65.002991,142.54,0.0,156,0,12.86,1,2023-03-01 18:31:25
2023/03/01, 18:46:38,-40.584644,-65.00296,159.34,1512.0,209,0,11.75,1,2023-03-01 18:46:38
2023/03/01, 19:02:18,-40.584637,-65.002899,152.19,1044.0,23,0,5.21,1,2023-03-01 19:02:18
2023/03/01, 19:18:37,-40.584709,-65.002991,136.91,828.0,9,0,11.16,1,2023-03-01 19:18:37
2023/03/01, 19:33:53,-40.584648,-65.002907,144.43,0.0,348,0,9.81,1,2023-03-01 19:33:53
2023/03/01, 19:49:06,-40.584621,-65.002907,153.38,0.0,163,0,3.0,1,2023-03-01 19:49:06
2023/03/01, 20:04:24,-40.584656,-65.00293,150.3,0.0,67,0,4.35,1,2023-03-01 20:04:24
2023/03/01, 20:19:55,-40.584599,-65.002869,150.46,828.0,49,0,8.17,1,2023-03-01 20:19:55
2023/03/01, 20:35:28,-40.584698,-65.002853,151.22,1548.0,349,0,11.09,1,2023-03-01 20:35:28
2023/03/01, 20:54:48,-40.584644,-65.002953,146.5,612.0,318,0,10.36,1,2023-03-01 20:54:48
2023/03/01, 21:16:33,-40.584705,-65.002975,147.44,0.0,165,0,7.03,1,2023-03-01 21:16:33
2023/03/01, 21:31:41,-40.584934,-65.003197,140.45,0.0,21,0,31.62,1,2023-03-01 21:31:41
2023/03/01, 21:47:03,-40.58461,-65.00293,159.78,0.0,179,0,42.5,1,2023-03-01 21:47:03
2023/03/01, 22:05:08,-40.584759,-65.002953,140.98,0.0,183,0,16.68,1,2023-03-01 22:05:08
2023/03/01, 22:20:31,-40.584682,-65.002945,146.29,0.0,183,0,8.59,1,2023-03-01 22:20:31
2023/03/01, 22:35:52,-40.584675,-65.002945,152.86,0.0,110,0,0.78,1,2023-03-01 22:35:52
2023/03/01, 22:51:14,-40.584652,-65.002884,159.26,0.0,216,0,5.75,1,2023-03-01 22:51:14
2023/03/01, 23:07:03,-40.584705,-65.002945,151.57,1188.0,183,0,7.83,1,2023-03-01 23:07:03
2023/03/01, 23:22:23,-40.584621,-65.002914,148.72,0.0,212,0,9.7,1,2023-03-01 23:22:23
2023/03/01, 23:37:43,-40.584656,-65.002945,158.33,0.0,83,0,4.69,1,2023-03-01 23:37:43
2023/03/01, 23:53:05,-40.584629,-65.00293,120.89,0.0,135,-4,3.26,1,2023-03-01 23:53:05
2023/03/02, 00:08:27,-40.584595,-65.002922,167.31,0.0,47,-2,0.0,1,2023-03-02 00:08:27
2023/03/02, 00:23:48,-40.58456,-65.002899,186.99,0.0,25,0,4.35,1,2023-03-02 00:23:48
2023/03/02, 00:39:05,-40.584682,-65.002945,152.08,0.0,5,0,14.11,1,2023-03-02 00:39:05
2023/03/02, 00:54:21,-40.584724,-65.003006,144.51,0.0,248,0,6.95,1,2023-03-02 00:54:21
2023/03/02, 01:10:03,-40.584671,-65.00293,154.61,1332.0,213,0,8.71,1,2023-03-02 01:10:03
2023/03/02, 01:25:19,-40.584698,-65.002907,153.87,468.0,318,0,3.58,1,2023-03-02 01:25:19
2023/03/02, 01:40:32,-40.58466,-65.002838,163.72,0.0,221,0,7.2,1,2023-03-02 01:40:32
2023/03/02, 01:55:52,-40.584679,-65.002907,156.35,324.0,288,0,6.2,1,2023-03-02 01:55:52
2023/03/02, 02:11:15,-40.584686,-65.002983,150.02,0.0,109,0,6.46,1,2023-03-02 02:11:15
2023/03/02, 02:26:29,-40.584648,-65.002899,159.56,0.0,323,0,8.26,1,2023-03-02 02:26:29
2023/03/02, 02:41:41,-40.584675,-65.002968,136.94,0.0,237,0,6.55,1,2023-03-02 02:41:41
2023/03/02, 02:57:10,-40.58469,-65.003014,142.85,468.0,18,0,4.23,1,2023-03-02 02:57:10
2023/03/02, 03:12:56,-40.584663,-65.002953,156.21,396.0,137,0,5.96,1,2023-03-02 03:12:56
2023/03/02, 03:31:51,-40.584652,-65.002892,153.96,576.0,264,0,5.29,1,2023-03-02 03:31:51
2023/03/02, 03:46:57,-40.584675,-65.002937,153.21,72.0,49,0,4.58,1,2023-03-02 03:46:57
2023/03/02, 04:02:07,-40.584675,-65.002937,150.5,144.0,75,0,0.0,1,2023-03-02 04:02:07
2023/03/02, 04:17:25,-40.584671,-65.002876,155.58,0.0,247,0,5.17,1,2023-03-02 04:17:25
2023/03/02, 04:32:42,-40.584675,-65.002907,151.52,0.0,343,0,2.66,1,2023-03-02 04:32:42
2023/03/02, 04:48:00,-40.584702,-65.002907,161.31,0.0,252,0,3.0,1,2023-03-02 04:48:00
2023/03/02, 05:03:43,-40.58456,-65.002945,138.65,1872.0,136,0,16.11,1,2023-03-02 05:03:43
2023/03/02, 05:19:15,-40.58466,-65.002953,144.34,252.0,298,0,11.14,1,2023-03-02 05:19:15
2023/03/02, 05:34:49,-40.584671,-65.002975,143.8,1152.0,74,0,2.22,1,2023-03-02 05:34:49
2023/03/02, 05:51:30,-40.584663,-65.002922,145.61,108.0,193,0,4.56,1,2023-03-02 05:51:30
2023/03/02, 06:12:31,-40.584644,-65.002899,150.48,0.0,352,0,2.87,1,2023-03-02 06:12:31
2023/03/02, 06:27:44,-40.584736,-65.003006,148.47,0.0,0,0,13.65,1,2023-03-02 06:27:44
2023/03/02, 06:42:58,-40.584755,-65.003059,150.1,0.0,45,0,4.95,1,2023-03-02 06:42:58
2023/03/02, 06:58:12,-40.584663,-65.00296,161.55,0.0,264,0,13.21,1,2023-03-02 06:58:12
2023/03/02, 07:13:57,-40.584633,-65.00296,150.7,936.0,49,0,3.34,1,2023-03-02 07:13:57
2023/03/02, 07:30:07,-40.584686,-65.003021,150.93,2088.0,224,0,7.83,1,2023-03-02 07:30:07
2023/03/02, 07:45:18,-40.584728,-65.003044,146.21,0.0,57,0,5.06,1,2023-03-02 07:45:18
2023/03/02, 08:00:32,-40.584686,-65.003006,146.84,0.0,223,0,5.67,1,2023-03-02 08:00:32
2023/03/02, 08:15:46,-40.584641,-65.002937,146.14,0.0,44,0,7.68,1,2023-03-02 08:15:46
2023/03/02, 08:31:02,-40.584648,-65.002945,149.13,0.0,69,0,1.03,1,2023-03-02 08:31:02
2023/03/02, 08:46:50,-40.584671,-65.002968,154.23,0.0,230,0,3.21,1,2023-03-02 08:46:50
2023/03/02, 09:02:10,-40.584663,-65.00296,153.59,72.0,43,0,1.12,1,2023-03-02 09:02:10
2023/03/02, 09:17:18,-40.58469,-65.002983,153.08,0.0,183,0,3.58,1,2023-03-02 09:17:18
2023/03/02, 09:32:28,-40.58466,-65.00296,154.94,0.0,50,0,3.86,1,2023-03-02 09:32:28
2023/03/02, 09:47:42,-40.584633,-65.002945,155.61,0.0,234,0,3.26,1,2023-03-02 09:47:42
2023/03/02, 10:03:33,-40.584682,-65.002937,151.3,540.0,312,0,5.49,1,2023-03-02 10:03:33
2023/03/02, 10:18:50,-40.584652,-65.00296,157.35,0.0,161,0,3.86,1,2023-03-02 10:18:50
2023/03/02, 10:34:09,-40.584679,-65.002945,155.84,0.0,78,0,3.26,1,2023-03-02 10:34:09
2023/03/02, 10:49:31,-40.58466,-65.002945,154.15,720.0,226,0,2.11,1,2023-03-02 10:49:31
2023/03/02, 11:04:59,-40.584663,-65.002914,185.65,0.0,255,0,2.64,1,2023-03-02 11:04:59
2023/03/02, 11:20:12,-40.584641,-65.002937,170.7,0.0,13,0,3.12,1,2023-03-02 11:20:12
2023/03/02, 11:35:24,-40.584671,-65.002991,158.39,0.0,47,0,5.65,1,2023-03-02 11:35:24
2023/03/02, 11:50:33,-40.584652,-65.002968,146.78,0.0,239,0,2.87,1,2023-03-02 11:50:33
2023/03/02, 12:05:44,-40.584621,-65.002991,154.68,0.0,63,0,3.96,1,2023-03-02 12:05:44
2023/03/02, 12:21:06,-40.584625,-65.002953,158.94,0.0,40,0,3.24,1,2023-03-02 12:21:06
2023/03/02, 12:36:31,-40.584667,-65.003014,153.29,216.0,352,0,6.95,1,2023-03-02 12:36:31
2023/03/02, 12:51:42,-40.584648,-65.002975,158.04,0.0,61,0,3.91,1,2023-03-02 12:51:42
2023/03/02, 13:07:01,-40.58469,-65.002937,155.41,0.0,1,0,5.67,1,2023-03-02 13:07:01
2023/03/02, 13:22:18,-40.584709,-65.002937,156.7,0.0,75,0,2.11,1,2023-03-02 13:22:18
2023/03/02, 13:37:38,-40.584736,-65.002953,156.1,0.0,295,0,3.29,1,2023-03-02 13:37:38
2023/03/02, 13:53:01,-40.58474,-65.00293,154.59,0.0,348,0,1.99,1,2023-03-02 13:53:01
2023/03/02, 14:08:26,-40.584721,-65.003151,143.37,0.0,0,0,18.78,1,2023-03-02 14:08:26
2023/03/02, 14:23:52,-40.58474,-65.003143,147.85,0.0,19,0,2.22,1,2023-03-02 14:23:52
2023/03/02, 14:39:14,-40.584702,-65.00309,165.42,0.0,254,0,6.16,1,2023-03-02 14:39:14
2023/03/02, 14:54:44,-40.584743,-65.003212,148.32,0.0,222,0,11.27,1,2023-03-02 14:54:44
2023/03/02, 15:10:32,-40.58474,-65.00296,156.79,72.0,80,0,21.28,1,2023-03-02 15:10:32
2023/03/02, 15:25:55,-40.584717,-65.002884,150.86,0.0,192,0,6.91,1,2023-03-02 15:25:55
2023/03/02, 15:41:15,-40.584614,-65.002899,163.6,0.0,241,0,11.52,1,2023-03-02 15:41:15
2023/03/02, 15:56:33,-40.584648,-65.002968,173.22,0.0,327,0,6.95,1,2023-03-02 15:56:33
2023/03/02, 16:11:35,-40.584698,-65.002899,159.5,756.0,324,0,8.05,1,2023-03-02 16:11:35
2023/03/02, 16:26:28,-40.584709,-65.002853,153.52,0.0,292,0,4.07,1,2023-03-02 16:26:28
2023/03/02, 16:41:20,-40.584709,-65.002892,151.78,0.0,354,0,3.29,1,2023-03-02 16:41:20
2023/03/02, 16:56:11,-40.584682,-65.002899,155.05,0.0,275,0,3.06,1,2023-03-02 16:56:11
2023/03/02, 17:11:50,-40.584698,-65.003044,133.59,576.0,152,0,12.37,1,2023-03-02 17:11:50
2023/03/02, 17:27:19,-40.584679,-65.002945,122.35,5004.0,6,0,8.62,1,2023-03-02 17:27:19
2023/03/02, 17:43:00,-40.584747,-65.003036,131.38,2160.0,37,0,10.78,1,2023-03-02 17:43:00
2023/03/02, 18:01:08,-40.584728,-65.003052,143.57,1728.0,159,0,2.51,1,2023-03-02 18:01:08
2023/03/02, 18:16:28,-40.584595,-65.002853,163.04,0.0,355,0,22.39,1,2023-03-02 18:16:28
2023/03/02, 18:32:03,-40.584496,-65.002815,173.5,0.0,191,0,11.47,1,2023-03-02 18:32:03
2023/03/02, 18:50:10,-40.584553,-65.002945,154.73,3672.0,14,0,12.68,1,2023-03-02 18:50:10
2023/03/02, 19:05:38,-40.584751,-65.002937,145.11,0.0,296,0,22.03,1,2023-03-02 19:05:38
2023/03/02, 19:20:59,-40.584618,-65.002914,159.22,9936.0,186,0,14.92,1,2023-03-02 19:20:59
2023/03/02, 19:36:35,-40.584641,-65.002876,154.02,828.0,351,0,4.1,1,2023-03-02 19:36:35
2023/03/02, 19:52:09,-40.584545,-65.002869,177.02,1692.0,102,0,10.69,1,2023-03-02 19:52:09
2023/03/02, 20:08:03,-40.584641,-65.002914,151.47,648.0,18,0,11.33,1,2023-03-02 20:08:03
2023/03/02, 20:29:01,-40.584709,-65.002899,146.98,0.0,193,0,7.67,1,2023-03-02 20:29:01
2023/03/02, 20:44:13,-40.584686,-65.002922,145.58,0.0,28,0,3.21,1,2023-03-02 20:44:13
2023/03/02, 20:59:24,-40.584648,-65.002914,150.1,0.0,25,0,4.28,1,2023-03-02 20:59:24
2023/03/02, 21:15:00,-40.584583,-65.002846,154.67,360.0,16,0,9.23,1,2023-03-02 21:15:00
2023/03/02, 21:32:30,-40.585159,-65.003342,120.83,792.0,326,0,76.53,1,2023-03-02 21:32:30
2023/03/02, 21:56:30,-40.584625,-65.00293,190.49,432.0,1,0,68.82,1,2023-03-02 21:56:30
2023/03/02, 22:22:01,-40.584648,-65.002922,159.69,0.0,0,0,2.65,1,2023-03-02 22:22:01
2023/03/02, 22:37:04,-40.584652,-65.002922,161.16,0.0,244,0,0.44,1,2023-03-02 22:37:04
2023/03/02, 22:52:06,-40.584709,-65.002884,169.04,540.0,290,0,7.1,1,2023-03-02 22:52:06
2023/03/02, 23:07:24,-40.584709,-65.003006,149.01,0.0,119,0,10.3,1,2023-03-02 23:07:24
2023/03/02, 23:22:48,-40.584686,-65.002953,159.1,0.0,0,0,5.15,1,2023-03-02 23:22:48
2023/03/02, 23:38:11,-40.584625,-65.002853,158.89,0.0,62,0,10.83,1,2023-03-02 23:38:11
2023/03/02, 23:54:02,-40.584663,-65.00296,150.26,612.0,293,-4,9.97,1,2023-03-02 23:54:02
2023/03/03, 01:01:31,-40.584759,-65.003029,139.88,0.0,201,-2,0.0,1,2023-03-03 01:01:31
2023/03/03, 01:17:09,-40.584621,-65.002884,160.2,648.0,347,0,19.63,1,2023-03-03 01:17:09
2023/03/03, 01:32:56,-40.584667,-65.002907,158.39,1548.0,50,0,5.47,1,2023-03-03 01:32:56
2023/03/03, 01:49:17,-40.584698,-65.002945,154.62,0.0,250,-4,4.71,1,2023-03-03 01:49:17
2023/03/03, 06:01:50,-40.584629,-65.002937,158.38,540.0,26,-2,0.0,1,2023-03-03 06:01:50
2023/03/03, 06:17:00,-40.584602,-65.002899,158.98,0.0,208,0,4.39,1,2023-03-03 06:17:00
2023/03/03, 06:32:08,-40.584538,-65.002968,184.8,0.0,322,0,9.2,1,2023-03-03 06:32:08
2023/03/03, 06:47:15,-40.584599,-65.002914,151.96,0.0,278,0,8.17,1,2023-03-03 06:47:15
2023/03/03, 07:02:26,-40.584618,-65.002922,161.12,0.0,257,0,2.22,1,2023-03-03 07:02:26
2023/03/03, 07:18:01,-40.58466,-65.002968,152.9,792.0,230,0,6.07,1,2023-03-03 07:18:01
2023/03/03, 07:33:10,-40.584675,-65.002968,153.95,0.0,181,0,1.67,1,2023-03-03 07:33:10
2023/03/03, 07:48:16,-40.584656,-65.002998,152.41,576.0,66,0,3.3,1,2023-03-03 07:48:16
2023/03/03, 08:03:28,-40.584641,-65.002945,153.81,0.0,170,0,4.78,1,2023-03-03 08:03:28
2023/03/03, 08:18:38,-40.584648,-65.003021,152.0,0.0,215,0,6.46,1,2023-03-03 08:18:38
2023/03/03, 08:34:19,-40.58466,-65.002968,152.21,216.0,230,0,4.67,1,2023-03-03 08:34:19
2023/03/03, 08:49:33,-40.584705,-65.003014,159.49,0.0,49,0,6.33,1,2023-03-03 08:49:33
2023/03/03, 09:04:53,-40.584667,-65.00296,155.03,0.0,354,0,6.22,1,2023-03-03 09:04:53
2023/03/03, 09:20:09,-40.584682,-65.00296,159.52,0.0,186,0,1.67,1,2023-03-03 09:20:09
